date,expiry,option_type,strike,close_price,volume,open_interest
2025-01-14,2025-01-16,CE,23100.0,176.0,898961,1913700
2025-01-14,2025-01-16,PE,23100.0,41.15,1762169,5161425
2025-01-14,2025-01-16,CE,23150.0,139.1,1325174,1551000
2025-01-14,2025-01-16,PE,23150.0,53.85,2040991,3755775
2025-01-14,2025-01-16,CE,23200.0,105.5,3357663,6932175
2025-01-14,2025-01-16,PE,23200.0,70.3,3346486,9254625
2025-01-14,2025-01-16,CE,23250.0,78.5,1743709,3174150
2025-01-14,2025-01-16,PE,23250.0,91.25,1158053,2733450
2025-01-14,2025-01-16,CE,23300.0,55.95,2098207,5923200
2025-01-14,2025-01-16,PE,23300.0,119.4,1045812,2414025
2025-01-15,2025-01-16,CE,23100.0,135.95,1199891,2336775
2025-01-15,2025-01-16,PE,23100.0,21.6,3592481,7817925
2025-01-15,2025-01-16,CE,23150.0,96.3,1954465,2471475
2025-01-15,2025-01-16,PE,23150.0,31.95,3955614,5832525
2025-01-15,2025-01-16,CE,23200.0,62.7,6246029,10882950
2025-01-15,2025-01-16,PE,23200.0,48.35,7584453,13434750
2025-01-15,2025-01-16,CE,23250.0,37.25,5355969,8190000
2025-01-15,2025-01-16,PE,23250.0,72.45,4358606,3154725
2025-01-15,2025-01-16,CE,23300.0,21.6,5538449,14495850
2025-01-15,2025-01-16,PE,23300.0,106.75,2893110,2511150
2025-01-16,2025-01-16,CE,23200.0,104.25,2469084,6529050
2025-01-16,2025-01-16,PE,23200.0,0.15,7224973,12811950
2025-01-16,2025-01-16,CE,23250.0,54.2,6044930,10809375
2025-01-16,2025-01-16,PE,23250.0,0.15,13838997,14914275
2025-01-16,2025-01-16,CE,23300.0,4.7,28680232,25483200
2025-01-16,2025-01-16,PE,23300.0,0.9,25383471,23491275
2025-01-16,2025-01-16,CE,23350.0,0.2,13843489,14022750
2025-01-16,2025-01-16,PE,23350.0,45.55,5443011,3120675
2025-01-16,2025-01-16,CE,23400.0,0.15,7425326,9204675
2025-01-16,2025-01-16,PE,23400.0,95.65,1980720,1607925
2025-01-17,2025-01-23,CE,23100.0,244.85,488585,797850
2025-01-17,2025-01-23,PE,23100.0,108.55,1398940,2154075
2025-01-17,2025-01-23,CE,23150.0,213.55,596247,759075
2025-01-17,2025-01-23,PE,23150.0,126.7,1169290,1420875
2025-01-17,2025-01-23,CE,23200.0,183.8,2064980,3662625
2025-01-17,2025-01-23,PE,23200.0,146.9,2430583,3565575
2025-01-17,2025-01-23,CE,23250.0,156.9,1160113,1339725
2025-01-17,2025-01-23,PE,23250.0,169.35,1016261,1144650
2025-01-17,2025-01-23,CE,23300.0,131.8,1672882,3581625
2025-01-17,2025-01-23,PE,23300.0,194.55,913965,2405100
2025-01-20,2025-01-23,CE,23250.0,212.9,901541,1158675
2025-01-20,2025-01-23,PE,23250.0,89.4,1098083,2348175
2025-01-20,2025-01-23,CE,23300.0,182.35,1733324,3389400
2025-01-20,2025-01-23,PE,23300.0,107.35,1570290,4643925
2025-01-20,2025-01-23,CE,23350.0,153.5,1217180,1784100
2025-01-20,2025-01-23,PE,23350.0,127.7,914544,1838550
2025-01-20,2025-01-23,CE,23400.0,127.85,1627168,3246900
2025-01-20,2025-01-23,PE,23400.0,151.05,762754,1861950
2025-01-20,2025-01-23,CE,23450.0,104.05,821526,1668675
2025-01-20,2025-01-23,PE,23450.0,178.4,157945,355425
2025-01-21,2025-01-23,CE,22900.0,237.75,59400,280650
2025-01-21,2025-01-23,PE,22900.0,58.55,1347240,2426925
2025-01-21,2025-01-23,CE,22950.0,202.55,59939,242625
2025-01-21,2025-01-23,PE,22950.0,72.7,889542,1046475
2025-01-21,2025-01-23,CE,23000.0,169.25,542035,2497575
2025-01-21,2025-01-23,PE,23000.0,89.6,3054522,5388300
2025-01-21,2025-01-23,CE,23050.0,139.95,266090,1372350
2025-01-21,2025-01-23,PE,23050.0,110.1,1042036,1457775
2025-01-21,2025-01-23,CE,23100.0,113.9,764444,2930700
2025-01-21,2025-01-23,PE,23100.0,133.05,2016125,2825025
2025-01-22,2025-01-23,CE,23050.0,137.5,2848112,2113050
2025-01-22,2025-01-23,PE,23050.0,23.35,4118183,4696950
2025-01-22,2025-01-23,CE,23100.0,99.1,5927723,5299650
2025-01-22,2025-01-23,PE,23100.0,34.8,5736721,7486575
2025-01-22,2025-01-23,CE,23150.0,68.8,3546341,4000200
2025-01-22,2025-01-23,PE,23150.0,54.0,2219530,3598500
2025-01-22,2025-01-23,CE,23200.0,46.95,4596159,7578900
2025-01-22,2025-01-23,PE,23200.0,81.9,1866684,4340025
2025-01-22,2025-01-23,CE,23250.0,31.35,2311178,4429425
2025-01-22,2025-01-23,PE,23250.0,116.35,421981,1320375
2025-01-23,2025-01-23,CE,23100.0,106.6,2415540,2468250
2025-01-23,2025-01-23,PE,23100.0,0.2,6669185,10595100
2025-01-23,2025-01-23,CE,23150.0,56.8,3786373,2329350
2025-01-23,2025-01-23,PE,23150.0,0.2,7523436,8183400
2025-01-23,2025-01-23,CE,23200.0,6.8,16694963,17487825
2025-01-23,2025-01-23,PE,23200.0,0.65,25586021,38414775
2025-01-23,2025-01-23,CE,23250.0,0.25,22518408,20259525
2025-01-23,2025-01-23,PE,23250.0,43.35,13188429,5273175
2025-01-23,2025-01-23,CE,23300.0,0.2,10718185,10263675
2025-01-23,2025-01-23,PE,23300.0,93.25,3747223,4599450
2025-01-24,2025-01-30,CE,23000.0,233.05,968488,2937000
2025-01-24,2025-01-30,PE,23000.0,119.05,5077068,6243275
2025-01-24,2025-01-30,CE,23050.0,202.1,409555,448375
2025-01-24,2025-01-30,PE,23050.0,139.25,1788586,744200
2025-01-24,2025-01-30,CE,23100.0,174.4,1823636,2752100
2025-01-24,2025-01-30,PE,23100.0,160.7,4096939,2735750
2025-01-24,2025-01-30,CE,23150.0,149.15,1777777,1259600
2025-01-24,2025-01-30,PE,23150.0,185.2,3086422,845075
2025-01-24,2025-01-30,CE,23200.0,126.3,5191016,5118600
2025-01-24,2025-01-30,PE,23200.0,211.7,5888650,3327825
2025-01-27,2025-01-30,CE,22750.0,208.8,340137,324750
2025-01-27,2025-01-30,PE,22750.0,111.35,1729227,757100
2025-01-27,2025-01-30,CE,22800.0,179.45,2055205,2008850
2025-01-27,2025-01-30,PE,22800.0,131.7,4772476,3679600
2025-01-27,2025-01-30,CE,22850.0,152.8,2056080,1327075
2025-01-27,2025-01-30,PE,22850.0,154.95,3107649,1234975
2025-01-27,2025-01-30,CE,22900.0,128.4,4378941,3032075
2025-01-27,2025-01-30,PE,22900.0,180.6,5046710,2363075
2025-01-27,2025-01-30,CE,22950.0,107.2,2369270,1592600
2025-01-27,2025-01-30,PE,22950.0,208.5,2244768,712675
2025-01-28,2025-01-30,CE,22850.0,212.1,1033944,951225
2025-01-28,2025-01-30,PE,22850.0,88.2,2317138,2193550
2025-01-28,2025-01-30,CE,22900.0,179.65,3777454,3312700
2025-01-28,2025-01-30,PE,22900.0,107.15,5254784,5639800
2025-01-28,2025-01-30,CE,22950.0,151.05,2440350,1836800
2025-01-28,2025-01-30,PE,22950.0,128.0,2691589,2416175
2025-01-28,2025-01-30,CE,23000.0,126.15,6502265,8621600
2025-01-28,2025-01-30,PE,23000.0,151.65,5503711,10186000
2025-01-28,2025-01-30,CE,23050.0,102.35,2714795,1722750
2025-01-28,2025-01-30,PE,23050.0,179.4,1711723,1612925
