date,open,high,low,close,volume,open_interest
2025-01-14,23248.0,23339.0,23198.45,23271.75,194699,13753850
2025-01-15,23302.05,23345.0,23201.0,23265.9,143790,13536300
2025-01-16,23406.0,23423.9,23346.15,23377.55,171198,13500850
2025-01-17,23344.9,23353.8,23150.1,23267.2,218388,14032150
2025-01-20,23339.95,23449.0,23220.0,23400.2,163712,14133750
2025-01-21,23424.95,23460.65,23051.65,23103.2,388434,14572600
2025-01-22,23164.0,23219.9,23020.0,23198.95,211777,14085325
2025-01-23,23150.0,23319.85,23126.9,23263.7,161222,13637050
2025-01-24,23275.1,23375.0,23071.45,23113.9,275484,13209950
2025-01-27,22972.0,23028.9,22809.0,22846.45,241956,11804150
2025-01-28,22948.0,23158.45,22871.0,22977.7,323967,8969500
2025-01-29,23034.0,23185.5,22963.7,23148.25,298123,6367950
2025-01-30,23150.0,23310.0,23120.0,23235.1,269241,4310725
2025-01-31,23490.0,23644.0,23411.05,23620.2,88911,17774775
2025-02-01,23584.0,23715.35,23422.95,23555.55,150937,17392275
2025-02-03,23390.0,23463.25,23305.35,23442.75,83636,17125575
2025-02-04,23550.0,23796.75,23496.9,23785.4,137005,16697400
2025-02-05,23825.0,23853.8,23755.0,23772.6,51116,16613175
2025-02-06,23822.4,23835.0,23660.0,23688.9,55302,16787400
2025-02-07,23712.0,23794.65,23521.0,23614.95,94840,16761000
2025-02-10,23589.95,23623.0,23388.0,23459.15,68065,17100975
2025-02-11,23421.0,23470.0,23060.0,23153.15,87766,17240925
2025-02-12,23134.4,23236.45,22900.0,23123.85,132065,17572200
2025-02-13,23119.0,23310.0,23066.0,23107.75,82593,17272950
2025-02-14,23169.0,23205.5,22846.45,22995.65,109312,17385600
2025-02-17,22945.4,23049.0,22826.25,23026.4,92954,17193300
2025-02-18,23029.1,23029.1,22838.8,22972.6,73098,16780425
2025-02-19,22900.2,23106.2,22881.15,22964.5,86464,16659825
2025-02-20,22895.0,22960.95,22855.0,22942.5,54621,16391775
2025-02-21,22880.0,22940.25,22757.75,22822.6,96195,15082500
2025-02-24,22674.7,22720.15,22572.15,22612.65,106292,11660625
2025-02-25,22582.2,22646.0,22561.3,22582.15,94896,7711800
2025-02-27,22580.0,22605.05,22530.2,22547.75,96679,3467625
2025-02-28,22532.4,22574.75,22233.35,22280.05,122445,17905950
2025-03-03,22341.0,22376.0,22140.05,22259.8,89291,17949600
2025-03-04,22115.6,22237.0,22101.0,22191.05,63149,18198750
2025-03-05,22200.0,22498.0,22168.3,22441.35,82566,17827425
2025-03-06,22541.0,22638.15,22359.0,22620.95,117025,18106275
2025-03-07,22598.9,22738.0,22572.2,22649.95,75660,18054525
2025-03-10,22599.9,22728.15,22486.85,22515.65,69156,17677275
2025-03-11,22419.95,22592.05,22361.55,22564.3,75200,17580075
2025-03-12,22580.0,22618.8,22380.2,22530.35,78142,17460150
2025-03-13,22550.0,22615.8,22430.1,22444.25,65790,17564925
2025-03-17,22510.2,22670.0,22502.3,22584.3,67599,17206125
2025-03-18,22705.0,22912.7,22672.8,22895.4,89671,16764675
2025-03-19,22934.0,22993.0,22872.0,22972.95,59079,16443750
2025-03-20,23069.9,23232.6,23015.0,23200.25,103958,15414525
2025-03-21,23195.05,23438.0,23172.0,23379.85,89048,14353050
2025-03-24,23482.3,23729.8,23441.5,23699.35,94775,12926625
2025-03-25,23767.1,23893.9,23660.0,23705.35,112607,11648400
2025-03-26,23735.0,23761.4,23494.9,23521.9,110793,7067400
2025-03-27,23470.0,23643.1,23455.05,23593.6,72007,4421475
2025-03-28,23775.05,23801.6,23560.0,23637.65,97506,12560100
2025-04-01,23530.0,23668.0,23290.0,23321.4,122621,12808425
